date	country	cases
2029-04-01	north	29
2029-04-01	south	13
2029-04-01	tropics	642
2029-04-09	north	28
2029-04-09	south	13
2029-04-09	tropics	572
2029-04-16	north	23
2029-04-16	south	13
2029-04-16	tropics	506
2029-04-23	north	21
2029-04-23	south	14
2029-04-23	tropics	442
2029-04-30	north	18
2029-04-30	south	14
2029-04-30	tropics	386
2029-05-07	north	15
2029-05-07	south	16
2029-05-07	tropics	335
2029-05-13	north	12
2029-05-13	south	17
2029-05-13	tropics	289
2029-05-21	north	10
2029-05-21	south	20
2029-05-21	tropics	249
2029-05-28	north	8
2029-05-28	south	22
2029-05-28	tropics	217
2029-06-04	north	6
2029-06-04	south	24
2029-06-04	tropics	188
2029-06-11	north	5
2029-06-11	south	26
2029-06-11	tropics	158
2029-06-18	north	3
2029-06-18	south	30
2029-06-18	tropics	137
2029-06-24	north	2
2029-06-24	south	33
2029-06-24	tropics	118
2029-07-02	north	2
2029-07-02	south	38
2029-07-02	tropics	99
2029-07-09	north	1
2029-07-09	south	44
2029-07-09	tropics	83
2029-07-16	north	1
2029-07-16	south	51
2029-07-16	tropics	71
2029-07-23	north	0
2029-07-23	south	58
2029-07-23	tropics	61
2029-07-30	north	0
2029-07-30	south	66
2029-07-30	tropics	52
2029-08-06	north	0
2029-08-06	south	74
2029-08-06	tropics	46
2029-08-13	north	0
2029-08-13	south	83
2029-08-13	tropics	39
2029-08-20	north	0
2029-08-20	south	87
2029-08-20	tropics	33
2029-08-27	north	0
2029-08-27	south	93
2029-08-27	tropics	30
2029-09-03	north	0
2029-09-03	south	98
2029-09-03	tropics	26
2029-09-10	north	0
2029-09-10	south	100
2029-09-10	tropics	23
2029-09-17	north	0
2029-09-17	south	101
2029-09-17	tropics	20
2029-09-24	north	1
2029-09-24	south	98
2029-09-24	tropics	18
2029-10-01	north	1
2029-10-01	south	92
2029-10-01	tropics	16
2029-10-08	north	1
2029-10-08	south	86
2029-10-08	tropics	14
2029-10-15	north	1
2029-10-15	south	77
2029-10-15	tropics	13
2029-10-22	north	1
2029-10-22	south	68
2029-10-22	tropics	11
2029-10-29	north	1
2029-10-29	south	59
2029-10-29	tropics	10
2029-11-05	north	2
2029-11-05	south	51
2029-11-05	tropics	9
2029-11-12	north	3
2029-11-12	south	42
2029-11-12	tropics	9
2029-11-19	north	4
2029-11-19	south	35
2029-11-19	tropics	8
2029-11-26	north	6
2029-11-26	south	28
2029-11-26	tropics	9
2029-12-03	north	8
2029-12-03	south	22
2029-12-03	tropics	9
2029-12-10	north	10
2029-12-10	south	17
2029-12-10	tropics	8
2029-12-17	north	15
2029-12-17	south	13
2029-12-17	tropics	8
2029-12-24	north	21
2029-12-24	south	10
2029-12-24	tropics	9
2029-12-31	north	29
2029-12-31	south	8
2029-12-31	tropics	10
2030-01-07	north	44
2030-01-07	south	6
2030-01-07	tropics	11
2030-01-14	north	63
2030-01-14	south	5
2030-01-14	tropics	13
2030-01-21	north	92
2030-01-21	south	4
2030-01-21	tropics	14
2030-01-28	north	130
2030-01-28	south	3
2030-01-28	tropics	15
2030-02-04	north	181
2030-02-04	south	3
2030-02-04	tropics	17
2030-02-11	north	249
2030-02-11	south	3
2030-02-11	tropics	19
2030-02-18	north	333
2030-02-18	south	3
2030-02-18	tropics	20
2030-02-25	north	442
2030-02-25	south	3
2030-02-25	tropics	23
2030-03-04	north	561
2030-03-04	south	4
2030-03-04	tropics	25
2030-03-11	north	686
2030-03-11	south	5
2030-03-11	tropics	28
2030-03-18	north	810
2030-03-18	south	7
2030-03-18	tropics	32
2030-03-25	north	917
2030-03-25	south	9
2030-03-25	tropics	36
2030-04-01	north	996
2030-04-01	south	11
2030-04-01	tropics	42
