date	country	variant	sequences
2025-04-06	north	12	3
2025-04-06	tropics	12	5
2025-04-13	north	12	2
2025-04-13	tropics	12	5
2025-04-20	north	12	5
2025-04-20	tropics	12	4
2025-04-27	north	12	1
2025-04-27	tropics	12	5
2025-05-04	north	12	1
2025-05-04	tropics	12	2
2025-05-11	north	12	2
2025-05-11	tropics	12	5
2025-05-18	tropics	12	6
2025-05-25	north	12	4
2025-05-25	tropics	12	3
2025-06-01	tropics	12	5
2025-06-08	tropics	12	4
2025-06-15	tropics	12	13
2025-06-22	tropics	12	8
2025-06-29	tropics	12	7
2025-07-06	south	12	1
2025-07-06	tropics	12	10
2025-07-13	north	12	1
2025-07-13	south	12	1
2025-07-13	tropics	12	11
2025-07-20	tropics	12	9
2025-07-27	north	12	1
2025-07-27	tropics	12	9
2025-08-03	south	12	2
2025-08-03	tropics	12	17
2025-08-10	south	12	3
2025-08-10	tropics	12	12
2025-08-17	south	12	2
2025-08-17	tropics	12	13
2025-08-24	south	12	1
2025-08-24	tropics	12	13
2025-08-31	south	12	3
2025-08-31	tropics	12	17
2025-09-07	south	12	1
2025-09-07	tropics	12	12
2025-09-14	south	12	1
2025-09-14	tropics	12	9
2025-09-21	south	12	1
2025-09-21	tropics	12	14
2025-09-28	tropics	12	20
2025-10-05	tropics	12	25
2025-10-12	south	12	1
2025-10-12	tropics	12	20
2025-10-19	north	12	1
2025-10-19	south	12	2
2025-10-19	tropics	12	18
2025-10-26	south	12	4
2025-10-26	tropics	12	31
2025-11-02	south	12	2
2025-11-02	tropics	12	22
2025-11-09	tropics	12	27
2025-11-16	south	12	1
2025-11-16	tropics	12	32
2025-11-23	north	12	2
2025-11-23	south	12	1
2025-11-23	tropics	12	29
2025-11-30	tropics	12	37
2025-12-07	tropics	12	28
2025-12-07	tropics	20	1
2025-12-14	south	12	1
2025-12-14	tropics	12	42
2025-12-21	north	12	2
2025-12-21	tropics	12	29
2025-12-28	north	12	2
2025-12-28	south	12	1
2025-12-28	tropics	12	28
2026-01-04	north	12	3
2026-01-04	south	12	1
2026-01-04	tropics	12	34
2026-01-04	tropics	16	1
2026-01-11	north	12	3
2026-01-11	tropics	12	34
2026-01-18	south	12	1
2026-01-18	tropics	12	39
2026-01-25	north	12	5
2026-01-25	tropics	12	48
2026-01-25	tropics	20	1
2026-02-01	north	12	2
2026-02-01	tropics	12	26
2026-02-08	north	12	13
2026-02-08	tropics	12	35
2026-02-15	north	12	13
2026-02-15	tropics	12	28
2026-02-15	tropics	16	1
2026-02-15	tropics	20	1
2026-02-22	north	12	21
2026-02-22	tropics	12	29
2026-03-01	north	12	13
2026-03-01	tropics	12	30
2026-03-01	tropics	16	1
2026-03-08	north	12	18
2026-03-08	south	12	1
2026-03-08	tropics	12	31
2026-03-15	north	12	19
2026-03-15	tropics	12	25
2026-03-22	north	12	23
2026-03-22	tropics	12	28
2026-03-22	tropics	16	1
2026-03-29	north	12	9
2026-03-29	tropics	12	31
