path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations,branches_parse_failed
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_1,1,139489.0301,90000000.0,0.0,89860510.9699,0.4948,1.3506240741933075,195367.8715,3.3085,30.0,0.75,inf,0.2,0.01368,3.0818,990.0,0.4114713216957606,2406.0,54.0,1.8620689655172413,29.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_7,7,174089.0659,90000000.0,0.0,89825910.9341,0.7482,2.1085860889080186,243639.6822,3.6217,30.0,1.0,inf,0.25,0.01367,3.6003,1449.0,0.44598337950138506,3249.0,58.0,11.6,5.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_0,0,151528.4444,90000000.0,0.0,89848471.5556,0.6936,1.831081985377756,212256.3811,3.7948,30.0,0.75,inf,0.2,0.01361,3.8079,1036.0,0.4081954294720252,2538.0,54.0,1.2,45.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_24,24,,,,,,,,,,0.75,,0.2,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_25,25,,,,,,,,,,0.75,,0.2,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_26,26,,,,,,,,,,0.75,,0.2,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_27,27,,,,,,,,,,0.75,,0.2,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_12,12,134491.6899,90000000.0,0.0,89865508.3101,0.8473,1.6839186834567719,188365.3651,4.334,30.0,0.75,inf,0.2,0.01362,4.272,1036.0,0.4040561622464899,2564.0,57.0,1.8387096774193548,31.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_10,10,180840.2065,90000000.0,0.0,89819159.7935,1.8614,4.110567936331209,253321.8517,5.4805,30.0,0.75,inf,0.2,0.01361,6.4449,1193.0,0.4215547703180212,2830.0,61.0,1.564102564102564,39.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_3,3,,,,,,,,,,0.75,,0.2,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_13,13,121988.4277,90000000.0,0.0,89878011.5723,0.5277,1.5182365768720059,170840.5601,3.7454,30.0,0.75,inf,0.2,0.01367,3.6592,919.0,0.3841973244147157,2392.0,33.0,8.25,4.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_11,11,155391.4974,90000000.0,0.0,89844608.5026,0.7437,1.977240157439782,217555.0959,3.6656,30.0,0.75,inf,0.2,0.01365,3.4228,1020.0,0.3953488372093023,2580.0,53.0,13.25,4.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_14,14,161600.8492,90000000.0,0.0,89838399.1508,0.6116,1.7715386446354275,226268.8447,3.0921,30.0,0.75,inf,0.2,0.01363,3.0108,1052.0,0.41712926249008725,2522.0,70.0,3.1818181818181817,22.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_16,16,164332.9554,90000000.0,0.0,89835667.0446,0.577,1.6743897523130307,229966.6013,3.4884,30.0,0.75,inf,0.2,0.01373,3.1102,1031.0,0.4115768463073852,2505.0,71.0,1.2456140350877194,57.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_15,15,162073.4182,90000000.0,0.0,89837926.5818,0.6431,1.755334163427448,227023.9035,3.6099,30.0,0.75,inf,0.2,0.0136,3.4123,1044.0,0.4128113879003559,2529.0,62.0,2.8181818181818183,22.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_17,17,179170.993,90000000.0,0.0,89820829.007,0.7284,2.325492840039486,250921.1106,3.2355,30.0,0.75,inf,0.2,0.01365,3.1042,974.0,0.3889776357827476,2504.0,42.0,4.2,10.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_0,0,,,,,,,,,,1.0,,0.2,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_19,19,140783.1375,90000000.0,0.0,89859216.8625,0.5844,1.6024808428098394,197240.3606,3.8784,30.0,0.75,inf,0.2,0.01361,3.8777,984.0,0.38908659549228947,2529.0,64.0,2.2857142857142856,28.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_2,2,168455.454,90000000.0,0.0,89831544.546,0.5674,1.7846355768431188,235949.2136,3.2706,30.0,0.75,inf,0.2,0.01363,3.1019,1020.0,0.4041204437400951,2524.0,62.0,2.2142857142857144,28.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_20,20,129285.1867,90000000.0,0.0,89870714.8133,0.5422,1.5243033754486777,181104.6861,3.9643,30.0,0.75,inf,0.2,0.01364,3.7783,939.0,0.389142146705346,2413.0,56.0,1.6470588235294117,34.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_21,21,152777.7826,90000000.0,0.0,89847222.2174,0.5997,1.784671422964814,214019.8223,3.6272,30.0,0.75,inf,0.2,0.01365,3.6859,1021.0,0.3980506822612086,2565.0,52.0,2.6,20.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_13,13,,,,,,,,,,1.0,,0.2,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_18,18,151255.9834,90000000.0,0.0,89848744.0166,0.5097,1.652817866172629,211852.6221,3.3188,30.0,0.75,inf,0.2,0.01369,3.0781,999.0,0.38735944164404806,2579.0,37.0,37.0,1.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_28,28,176648.4092,90000000.0,0.0,89823351.5908,0.5314,1.9577206562979825,247407.8318,3.0781,30.0,0.75,inf,0.2,0.01365,2.741,974.0,0.3996717275338531,2437.0,57.0,1.5833333333333333,36.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_1.0/run_16,16,,,,,,,,,,1.0,,0.2,,,,,,,,,True
