date	country	cases
2031-10-06	north	6
2031-10-06	south	1
2031-10-06	tropics	153
2031-10-13	north	7
2031-10-13	south	1
2031-10-13	tropics	157
2031-10-20	north	8
2031-10-20	south	1
2031-10-20	tropics	164
2031-10-27	north	9
2031-10-27	south	1
2031-10-27	tropics	170
2031-11-03	north	12
2031-11-03	south	1
2031-11-03	tropics	174
2031-11-10	north	14
2031-11-10	south	0
2031-11-10	tropics	177
2031-11-17	north	17
2031-11-17	south	0
2031-11-17	tropics	184
2031-11-24	north	22
2031-11-24	south	0
2031-11-24	tropics	188
2031-12-01	north	30
2031-12-01	south	0
2031-12-01	tropics	190
2031-12-08	north	42
2031-12-08	south	0
2031-12-08	tropics	195
2031-12-15	north	57
2031-12-15	south	0
2031-12-15	tropics	203
2031-12-22	north	79
2031-12-22	south	1
2031-12-22	tropics	211
2031-12-29	north	110
2031-12-29	south	1
2031-12-29	tropics	213
2032-01-05	north	156
2032-01-05	south	0
2032-01-05	tropics	219
2032-01-12	north	221
2032-01-12	south	1
2032-01-12	tropics	223
2032-01-19	north	310
2032-01-19	south	1
2032-01-19	tropics	226
2032-01-26	north	435
2032-01-26	south	1
2032-01-26	tropics	227
2032-02-02	north	597
2032-02-02	south	1
2032-02-02	tropics	229
2032-02-09	north	806
2032-02-09	south	2
2032-02-09	tropics	240
2032-02-16	north	1063
2032-02-16	south	3
2032-02-16	tropics	247
2032-02-23	north	1353
2032-02-23	south	4
2032-02-23	tropics	256
2032-03-01	north	1639
2032-03-01	south	6
2032-03-01	tropics	267
2032-03-08	north	1883
2032-03-08	south	8
2032-03-08	tropics	275
2032-03-15	north	2047
2032-03-15	south	10
2032-03-15	tropics	285
2032-03-22	north	2098
2032-03-22	south	12
2032-03-22	tropics	298
2032-03-29	north	2034
2032-03-29	south	14
2032-03-29	tropics	313
2032-04-05	north	1863
2032-04-05	south	16
2032-04-05	tropics	322
2032-04-12	north	1628
2032-04-12	south	20
2032-04-12	tropics	334
2032-04-19	north	1354
2032-04-19	south	23
2032-04-19	tropics	347
2032-04-26	north	1090
2032-04-26	south	27
2032-04-26	tropics	358
2032-05-03	north	845
2032-05-03	south	33
2032-05-03	tropics	371
2032-05-10	north	636
2032-05-10	south	40
2032-05-10	tropics	388
2032-05-17	north	472
2032-05-17	south	50
2032-05-17	tropics	401
2032-05-24	north	340
2032-05-24	south	61
2032-05-24	tropics	420
2032-05-31	north	244
2032-05-31	south	75
2032-05-31	tropics	429
2032-06-07	north	172
2032-06-07	south	93
2032-06-07	tropics	443
2032-06-14	north	118
2032-06-14	south	119
2032-06-14	tropics	459
2032-06-21	north	83
2032-06-21	south	148
2032-06-21	tropics	470
2032-06-28	north	58
2032-06-28	south	184
2032-06-28	tropics	483
2032-07-06	north	42
2032-07-06	south	232
2032-07-06	tropics	494
2032-07-12	north	30
2032-07-12	south	289
2032-07-12	tropics	498
2032-07-19	north	22
2032-07-19	south	362
2032-07-19	tropics	497
2032-07-26	north	16
2032-07-26	south	442
2032-07-26	tropics	499
2032-08-02	north	13
2032-08-02	south	530
2032-08-02	tropics	502
2032-08-10	north	10
2032-08-10	south	621
2032-08-10	tropics	501
2032-08-17	north	9
2032-08-17	south	705
2032-08-17	tropics	495
2032-08-23	north	8
2032-08-23	south	784
2032-08-23	tropics	486
2032-08-30	north	7
2032-08-30	south	839
2032-08-30	tropics	473
2032-09-06	north	7
2032-09-06	south	870
2032-09-06	tropics	461
2032-09-13	north	7
2032-09-13	south	871
2032-09-13	tropics	449
2032-09-21	north	8
2032-09-21	south	840
2032-09-21	tropics	431
2032-09-28	north	8
2032-09-28	south	775
2032-09-28	tropics	414
