date	country	variant	sequences
2027-04-04	north	12	62
2027-04-04	north	16	95
2027-04-04	north	20	19
2027-04-04	south	12	3
2027-04-04	south	20	1
2027-04-04	tropics	12	8
2027-04-04	tropics	16	12
2027-04-04	tropics	20	5
2027-04-11	north	2	1
2027-04-11	north	12	32
2027-04-11	north	16	85
2027-04-11	north	20	12
2027-04-11	south	12	2
2027-04-11	south	16	1
2027-04-11	south	20	2
2027-04-11	tropics	12	7
2027-04-11	tropics	16	5
2027-04-11	tropics	20	9
2027-04-18	north	12	25
2027-04-18	north	16	68
2027-04-18	north	20	13
2027-04-18	south	16	5
2027-04-18	south	20	1
2027-04-18	tropics	12	18
2027-04-18	tropics	16	6
2027-04-18	tropics	20	4
2027-04-25	north	12	15
2027-04-25	north	16	55
2027-04-25	north	20	9
2027-04-25	south	12	3
2027-04-25	south	16	4
2027-04-25	south	20	2
2027-04-25	tropics	12	7
2027-04-25	tropics	16	7
2027-04-25	tropics	20	7
2027-05-02	north	12	15
2027-05-02	north	16	34
2027-05-02	north	20	9
2027-05-02	south	12	2
2027-05-02	south	16	10
2027-05-02	south	20	1
2027-05-02	tropics	12	13
2027-05-02	tropics	16	10
2027-05-02	tropics	20	3
2027-05-09	north	12	12
2027-05-09	north	16	38
2027-05-09	north	20	7
2027-05-09	south	12	2
2027-05-09	south	16	9
2027-05-09	south	20	1
2027-05-09	tropics	12	14
2027-05-09	tropics	16	3
2027-05-09	tropics	20	9
2027-05-16	north	12	1
2027-05-16	north	16	30
2027-05-16	north	20	2
2027-05-16	south	12	3
2027-05-16	south	16	14
2027-05-16	south	20	2
2027-05-16	tropics	12	6
2027-05-16	tropics	16	15
2027-05-16	tropics	20	10
2027-05-23	north	12	2
2027-05-23	north	16	11
2027-05-23	north	20	4
2027-05-23	south	12	3
2027-05-23	south	16	17
2027-05-23	south	20	2
2027-05-23	tropics	12	10
2027-05-23	tropics	16	12
2027-05-23	tropics	20	10
2027-05-30	north	12	2
2027-05-30	north	16	9
2027-05-30	north	20	2
2027-05-30	south	12	6
2027-05-30	south	16	16
2027-05-30	south	20	10
2027-05-30	tropics	12	15
2027-05-30	tropics	16	8
2027-05-30	tropics	20	20
2027-06-06	north	12	2
2027-06-06	north	16	2
2027-06-06	south	12	8
2027-06-06	south	16	30
2027-06-06	south	20	8
2027-06-06	tropics	12	12
2027-06-06	tropics	16	9
2027-06-06	tropics	20	23
2027-06-13	north	12	2
2027-06-13	north	16	4
2027-06-13	north	20	3
2027-06-13	south	12	14
2027-06-13	south	16	38
2027-06-13	south	20	7
2027-06-13	tropics	12	15
2027-06-13	tropics	16	13
2027-06-13	tropics	20	15
2027-06-20	north	12	2
2027-06-20	north	16	4
2027-06-20	north	20	2
2027-06-20	south	12	18
2027-06-20	south	16	53
2027-06-20	south	20	19
2027-06-20	tropics	12	10
2027-06-20	tropics	16	15
2027-06-20	tropics	20	15
2027-06-27	north	20	1
2027-06-27	south	12	28
2027-06-27	south	16	71
2027-06-27	south	20	19
2027-06-27	tropics	12	14
2027-06-27	tropics	16	13
2027-06-27	tropics	20	22
2027-07-04	north	16	2
2027-07-04	north	20	1
2027-07-04	south	12	14
2027-07-04	south	16	80
2027-07-04	south	20	28
2027-07-04	tropics	12	13
2027-07-04	tropics	16	8
2027-07-04	tropics	20	13
2027-07-11	north	16	1
2027-07-11	north	20	2
2027-07-11	south	12	26
2027-07-11	south	16	103
2027-07-11	south	20	24
2027-07-11	tropics	12	17
2027-07-11	tropics	16	7
2027-07-11	tropics	20	22
2027-07-18	north	16	1
2027-07-18	north	20	1
2027-07-18	south	12	21
2027-07-18	south	16	134
2027-07-18	south	20	55
2027-07-18	tropics	12	6
2027-07-18	tropics	16	10
2027-07-18	tropics	20	25
2027-07-25	south	12	35
2027-07-25	south	16	175
2027-07-25	south	20	67
2027-07-25	tropics	12	8
2027-07-25	tropics	16	11
2027-07-25	tropics	20	19
2027-08-01	south	12	49
2027-08-01	south	16	180
2027-08-01	south	20	74
2027-08-01	tropics	12	8
2027-08-01	tropics	16	9
2027-08-01	tropics	20	31
2027-08-08	north	12	1
2027-08-08	north	16	1
2027-08-08	south	12	37
2027-08-08	south	16	185
2027-08-08	south	20	85
2027-08-08	tropics	12	8
2027-08-08	tropics	16	14
2027-08-08	tropics	20	28
2027-08-15	north	12	1
2027-08-15	north	20	1
2027-08-15	south	12	25
2027-08-15	south	16	155
2027-08-15	south	20	85
2027-08-15	tropics	12	11
2027-08-15	tropics	16	11
2027-08-15	tropics	20	24
2027-08-22	south	12	27
2027-08-22	south	16	167
2027-08-22	south	20	87
2027-08-22	tropics	12	19
2027-08-22	tropics	16	14
2027-08-22	tropics	20	27
2027-08-29	north	20	1
2027-08-29	south	12	17
2027-08-29	south	16	131
2027-08-29	south	20	69
2027-08-29	tropics	12	12
2027-08-29	tropics	16	16
2027-08-29	tropics	20	33
2027-09-05	north	16	2
2027-09-05	north	20	1
2027-09-05	south	12	21
2027-09-05	south	16	111
2027-09-05	south	20	67
2027-09-05	tropics	12	10
2027-09-05	tropics	16	8
2027-09-05	tropics	20	32
2027-09-12	south	12	11
2027-09-12	south	16	105
2027-09-12	south	20	57
2027-09-12	tropics	12	10
2027-09-12	tropics	16	13
2027-09-12	tropics	20	26
2027-09-19	north	16	1
2027-09-19	south	12	13
2027-09-19	south	16	75
2027-09-19	south	20	39
2027-09-19	tropics	12	6
2027-09-19	tropics	16	15
2027-09-19	tropics	20	40
2027-09-26	north	16	1
2027-09-26	north	20	1
2027-09-26	south	12	11
2027-09-26	south	16	57
2027-09-26	south	20	32
2027-09-26	tropics	12	7
2027-09-26	tropics	16	13
2027-09-26	tropics	20	24
2027-10-03	south	12	7
2027-10-03	south	16	40
2027-10-03	south	20	39
2027-10-03	tropics	12	10
2027-10-03	tropics	16	8
2027-10-03	tropics	20	31
2027-10-10	south	16	30
2027-10-10	south	20	16
2027-10-10	tropics	12	5
2027-10-10	tropics	16	13
2027-10-10	tropics	20	30
2027-10-17	south	12	3
2027-10-17	south	16	22
2027-10-17	south	20	14
2027-10-17	tropics	12	7
2027-10-17	tropics	16	16
2027-10-17	tropics	20	30
2027-10-24	north	16	1
2027-10-24	south	16	14
2027-10-24	south	20	8
2027-10-24	tropics	12	7
2027-10-24	tropics	16	9
2027-10-24	tropics	20	31
2027-10-31	north	20	1
2027-10-31	south	12	1
2027-10-31	south	16	10
2027-10-31	south	20	9
2027-10-31	tropics	12	5
2027-10-31	tropics	16	14
2027-10-31	tropics	20	23
2027-11-07	south	12	2
2027-11-07	south	16	4
2027-11-07	south	20	5
2027-11-07	tropics	12	6
