date	country	cases
2027-04-04	north	776
2027-04-04	south	4
2027-04-04	tropics	182
2027-04-11	north	781
2027-04-11	south	6
2027-04-11	tropics	214
2027-04-18	north	764
2027-04-18	south	8
2027-04-18	tropics	252
2027-04-25	north	729
2027-04-25	south	10
2027-04-25	tropics	295
2027-05-02	north	672
2027-05-02	south	12
2027-05-02	tropics	348
2027-05-09	north	596
2027-05-09	south	16
2027-05-09	tropics	405
2027-05-16	north	525
2027-05-16	south	21
2027-05-16	tropics	470
2027-05-23	north	453
2027-05-23	south	28
2027-05-23	tropics	539
2027-05-30	north	385
2027-05-30	south	36
2027-05-30	tropics	612
2027-06-06	north	323
2027-06-06	south	50
2027-06-06	tropics	691
2027-06-13	north	268
2027-06-13	south	66
2027-06-13	tropics	774
2027-06-20	north	220
2027-06-20	south	89
2027-06-20	tropics	852
2027-06-27	north	180
2027-06-27	south	120
2027-06-27	tropics	918
2027-07-04	north	151
2027-07-04	south	160
2027-07-04	tropics	975
2027-07-11	north	125
2027-07-11	south	213
2027-07-11	tropics	1019
2027-07-18	north	104
2027-07-18	south	280
2027-07-18	tropics	1042
2027-07-25	north	89
2027-07-25	south	362
2027-07-25	tropics	1046
2027-08-01	north	76
2027-08-01	south	468
2027-08-01	tropics	1028
2027-08-08	north	68
2027-08-08	south	583
2027-08-08	tropics	1005
2027-08-15	north	61
2027-08-15	south	712
2027-08-15	tropics	959
2027-08-22	north	56
2027-08-22	south	850
2027-08-22	tropics	908
2027-08-29	north	54
2027-08-29	south	975
2027-08-29	tropics	841
2027-09-05	north	52
2027-09-05	south	1077
2027-09-05	tropics	771
2027-09-12	north	52
2027-09-12	south	1150
2027-09-12	tropics	700
2027-09-19	north	54
2027-09-19	south	1185
2027-09-19	tropics	628
2027-09-26	north	57
2027-09-26	south	1178
2027-09-26	tropics	559
2027-10-03	north	62
2027-10-03	south	1122
2027-10-03	tropics	494
2027-10-10	north	70
2027-10-10	south	1031
2027-10-10	tropics	431
2027-10-17	north	82
2027-10-17	south	920
2027-10-17	tropics	377
2027-10-24	north	98
2027-10-24	south	800
2027-10-24	tropics	326
2027-10-31	north	117
2027-10-31	south	677
2027-10-31	tropics	282
2027-11-07	north	144
2027-11-07	south	560
2027-11-07	tropics	242
2027-11-14	north	185
2027-11-14	south	455
2027-11-14	tropics	209
2027-11-21	north	245
2027-11-21	south	362
2027-11-21	tropics	179
2027-11-28	north	331
2027-11-28	south	287
2027-11-28	tropics	154
2027-12-05	north	457
2027-12-05	south	224
2027-12-05	tropics	135
2027-12-12	north	635
2027-12-12	south	174
2027-12-12	tropics	116
2027-12-19	north	884
2027-12-19	south	136
2027-12-19	tropics	102
2027-12-26	north	1226
2027-12-26	south	107
2027-12-26	tropics	90
2028-01-02	north	1671
2028-01-02	south	84
2028-01-02	tropics	80
2028-01-09	north	2199
2028-01-09	south	69
2028-01-09	tropics	73
2028-01-16	north	2750
2028-01-16	south	56
2028-01-16	tropics	69
2028-01-23	north	3246
2028-01-23	south	49
2028-01-23	tropics	64
2028-01-30	north	3558
2028-01-30	south	42
2028-01-30	tropics	64
2028-02-06	north	3615
2028-02-06	south	39
2028-02-06	tropics	64
2028-02-13	north	3383
2028-02-13	south	36
2028-02-13	tropics	65
2028-02-20	north	2962
2028-02-20	south	35
2028-02-20	tropics	64
2028-02-27	north	2438
2028-02-27	south	33
2028-02-27	tropics	65
2028-03-05	north	1897
2028-03-05	south	33
2028-03-05	tropics	65
2028-03-12	north	1413
2028-03-12	south	33
2028-03-12	tropics	66
2028-03-19	north	1021
2028-03-19	south	32
2028-03-19	tropics	66
2028-03-26	north	720
2028-03-26	south	31
2028-03-26	tropics	66
