date	country	cases
2028-04-02	north	494
2028-04-02	south	32
2028-04-02	tropics	67
2028-04-09	north	334
2028-04-09	south	32
2028-04-09	tropics	68
2028-04-16	north	219
2028-04-16	south	34
2028-04-16	tropics	69
2028-04-23	north	140
2028-04-23	south	37
2028-04-23	tropics	69
2028-04-30	north	88
2028-04-30	south	42
2028-04-30	tropics	70
2028-05-07	north	55
2028-05-07	south	47
2028-05-07	tropics	70
2028-05-14	north	34
2028-05-14	south	55
2028-05-14	tropics	71
2028-05-21	north	20
2028-05-21	south	65
2028-05-21	tropics	71
2028-05-28	north	12
2028-05-28	south	77
2028-05-28	tropics	73
2028-06-04	north	8
2028-06-04	south	91
2028-06-04	tropics	74
2028-06-11	north	5
2028-06-11	south	112
2028-06-11	tropics	74
2028-06-18	north	3
2028-06-18	south	134
2028-06-18	tropics	76
2028-06-25	north	1
2028-06-25	south	166
2028-06-25	tropics	76
2028-07-02	north	1
2028-07-02	south	209
2028-07-02	tropics	77
2028-07-10	north	1
2028-07-10	south	258
2028-07-10	tropics	79
2028-07-16	north	1
2028-07-16	south	322
2028-07-16	tropics	81
2028-07-23	north	0
2028-07-23	south	399
2028-07-23	tropics	84
2028-07-30	north	0
2028-07-30	south	495
2028-07-30	tropics	88
2028-08-06	north	1
2028-08-06	south	602
2028-08-06	tropics	92
2028-08-13	north	1
2028-08-13	south	729
2028-08-13	tropics	97
2028-08-21	north	1
2028-08-21	south	857
2028-08-21	tropics	105
2028-08-27	north	2
2028-08-27	south	987
2028-08-27	tropics	114
2028-09-03	north	2
2028-09-03	south	1113
2028-09-03	tropics	122
2028-09-10	north	3
2028-09-10	south	1208
2028-09-10	tropics	133
2028-09-17	north	4
2028-09-17	south	1262
2028-09-17	tropics	145
2028-09-25	north	4
2028-09-25	south	1282
2028-09-25	tropics	163
2028-10-02	north	5
2028-10-02	south	1254
2028-10-02	tropics	186
2028-10-08	north	5
2028-10-08	south	1183
2028-10-08	tropics	211
2028-10-15	north	6
2028-10-15	south	1072
2028-10-15	tropics	239
2028-10-22	north	6
2028-10-22	south	942
2028-10-22	tropics	269
2028-10-29	north	7
2028-10-29	south	804
2028-10-29	tropics	302
2028-11-06	north	8
2028-11-06	south	671
2028-11-06	tropics	349
2028-11-13	north	9
2028-11-13	south	547
2028-11-13	tropics	396
2028-11-19	north	10
2028-11-19	south	434
2028-11-19	tropics	446
2028-11-26	north	10
2028-11-26	south	338
2028-11-26	tropics	505
2028-12-03	north	11
2028-12-03	south	262
2028-12-03	tropics	572
2028-12-10	north	13
2028-12-10	south	198
2028-12-10	tropics	645
2028-12-18	north	16
2028-12-18	south	149
2028-12-18	tropics	720
2028-12-25	north	18
2028-12-25	south	115
2028-12-25	tropics	788
2029-01-01	north	20
2029-01-01	south	86
2029-01-01	tropics	857
2029-01-07	north	22
2029-01-07	south	66
2029-01-07	tropics	918
2029-01-14	north	26
2029-01-14	south	50
2029-01-14	tropics	978
2029-01-22	north	28
2029-01-22	south	39
2029-01-22	tropics	1011
2029-01-29	north	30
2029-01-29	south	31
2029-01-29	tropics	1037
2029-02-05	north	33
2029-02-05	south	25
2029-02-05	tropics	1048
2029-02-12	north	36
2029-02-12	south	21
2029-02-12	tropics	1040
2029-02-18	north	38
2029-02-18	south	17
2029-02-18	tropics	1010
2029-02-25	north	37
2029-02-25	south	15
2029-02-25	tropics	966
2029-03-05	north	37
2029-03-05	south	13
2029-03-05	tropics	913
2029-03-12	north	36
2029-03-12	south	12
2029-03-12	tropics	849
2029-03-19	north	34
2029-03-19	south	12
2029-03-19	tropics	783
2029-03-26	north	32
2029-03-26	south	12
2029-03-26	tropics	711
2029-04-01	north	29
2029-04-01	south	13
2029-04-01	tropics	642
