date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model
2024-12-08	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-09	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-10	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-11	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-12	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-13	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-14	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-15	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-16	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-17	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-18	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-19	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-20	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-21	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-22	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-23	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-24	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-25	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
2024-12-26	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								GARW
