date	country	variant	sequences
2034-04-02	tropics	10	1
2034-04-09	south	10	1
2034-04-09	tropics	10	1
2034-04-16	north	9	1
2034-04-16	north	10	2
2034-04-16	south	10	1
2034-04-16	tropics	9	2
2034-04-23	north	8	1
2034-04-23	north	9	1
2034-04-23	north	10	1
2034-04-23	tropics	9	1
2034-04-23	tropics	10	3
2034-04-30	north	9	2
2034-04-30	north	10	1
2034-04-30	tropics	9	3
2034-04-30	tropics	10	2
2034-05-07	north	8	1
2034-05-07	north	10	4
2034-05-07	tropics	10	4
2034-05-14	north	9	1
2034-05-14	north	10	4
2034-05-14	tropics	9	2
2034-05-14	tropics	10	10
2034-05-21	north	10	2
2034-05-21	south	9	1
2034-05-21	south	10	2
2034-05-21	tropics	9	2
2034-05-21	tropics	10	4
2034-05-28	north	9	2
2034-05-28	north	10	1
2034-05-28	tropics	10	9
2034-06-04	north	10	2
2034-06-04	south	9	1
2034-06-04	south	10	4
2034-06-04	tropics	10	7
2034-06-11	north	10	3
2034-06-11	north	11	1
2034-06-11	south	9	1
2034-06-11	south	10	3
2034-06-11	tropics	10	10
2034-06-18	north	10	4
2034-06-18	south	9	1
2034-06-18	south	10	17
2034-06-18	tropics	10	8
2034-06-25	north	10	5
2034-06-25	south	9	1
2034-06-25	south	10	12
2034-06-25	tropics	9	1
2034-06-25	tropics	10	6
2034-07-02	north	10	4
2034-07-02	south	10	17
2034-07-02	south	11	1
2034-07-02	tropics	10	8
2034-07-09	north	9	1
2034-07-09	north	10	3
2034-07-09	south	10	24
2034-07-09	tropics	10	8
2034-07-16	north	9	1
2034-07-16	north	10	4
2034-07-16	south	10	14
2034-07-16	tropics	9	1
2034-07-16	tropics	10	5
2034-07-23	north	10	8
2034-07-23	south	10	12
2034-07-23	tropics	10	4
2034-07-30	north	9	1
2034-07-30	north	10	3
2034-07-30	south	10	9
2034-07-30	tropics	10	1
2034-08-06	north	10	3
2034-08-06	south	10	4
2034-08-06	tropics	10	4
2034-08-13	north	10	3
2034-08-13	south	10	6
2034-08-13	tropics	10	2
2034-08-20	north	10	4
2034-08-20	north	11	1
2034-08-20	south	10	5
2034-08-20	tropics	10	3
2034-08-27	north	9	1
2034-08-27	north	10	2
2034-08-27	south	10	5
2034-08-27	tropics	10	1
2034-09-03	north	10	4
2034-09-10	north	10	1
2034-09-10	south	10	1
2034-09-10	tropics	10	2
2034-09-17	north	10	3
2034-09-17	south	10	2
2034-09-17	tropics	10	1
2034-09-24	north	10	3
2034-09-24	south	10	1
2034-09-24	tropics	10	1
2034-10-01	north	9	1
2034-10-01	north	10	5
2034-10-08	north	10	2
2034-10-08	tropics	10	1
2034-10-15	north	10	3
2034-10-22	north	10	4
2034-10-29	north	10	4
2034-11-05	north	10	5
2034-11-12	north	10	3
2034-11-12	north	11	1
2034-11-12	tropics	10	1
2034-11-19	north	10	4
2034-11-19	north	11	1
2034-11-26	north	10	3
2034-11-26	north	11	2
2034-11-26	south	10	1
2034-12-03	north	10	7
2034-12-10	north	10	4
2034-12-10	north	11	1
2034-12-17	north	10	6
2034-12-17	north	11	1
2034-12-24	north	10	5
2034-12-24	north	11	2
2034-12-31	north	10	10
2034-12-31	north	11	1
2035-01-07	north	10	6
2035-01-07	north	11	1
2035-01-14	north	10	6
2035-01-14	north	11	3
2035-01-21	north	10	4
2035-01-21	north	11	3
2035-01-28	north	10	2
2035-01-28	north	11	5
2035-02-04	north	10	7
2035-02-04	north	11	12
2035-02-11	north	10	4
2035-02-11	north	11	4
2035-02-18	north	11	4
2035-02-25	north	10	1
2035-02-25	north	11	5
2035-03-04	north	10	3
2035-03-04	north	11	4
2035-03-11	north	11	7
2035-03-18	north	10	1
2035-03-18	north	11	1
2035-03-18	tropics	11	1
2035-03-25	north	11	5
2035-04-01	north	10	1
